Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2025,Place of Residence,94102,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94102,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94102,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94102,2000 - 2499 grams,11,09/10/2025
Birth,2025,Place of Residence,94102,2500 - 2999 grams,29,09/10/2025
Birth,2025,Place of Residence,94102,3000 - 3499 grams,46,09/10/2025
Birth,2025,Place of Residence,94102,3500 - 3999 grams,32,09/10/2025
Birth,2025,Place of Residence,94102,4000 - 5999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94102,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94103,500 - 999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94103,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94103,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94103,2000 - 2499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94103,2500 - 2999 grams,38,09/10/2025
Birth,2025,Place of Residence,94103,3000 - 3499 grams,55,09/10/2025
Birth,2025,Place of Residence,94103,3500 - 3999 grams,36,09/10/2025
Birth,2025,Place of Residence,94103,4000 - 5999 grams,12,09/10/2025
Birth,2025,Place of Residence,94103,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94104,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94104,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94104,1500 - 1999 grams,0,09/10/2025
Birth,2025,Place of Residence,94104,2000 - 2499 grams,0,09/10/2025
Birth,2025,Place of Residence,94104,2500 - 2999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94104,3000 - 3499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94104,3500 - 3999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94104,4000 - 5999 grams,0,09/10/2025
Birth,2025,Place of Residence,94104,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94105,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94105,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94105,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94105,2000 - 2499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94105,2500 - 2999 grams,17,09/10/2025
Birth,2025,Place of Residence,94105,3000 - 3499 grams,37,09/10/2025
Birth,2025,Place of Residence,94105,3500 - 3999 grams,18,09/10/2025
Birth,2025,Place of Residence,94105,4000 - 5999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94105,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94107,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94107,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94107,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94107,2000 - 2499 grams,12,09/10/2025
Birth,2025,Place of Residence,94107,2500 - 2999 grams,42,09/10/2025
Birth,2025,Place of Residence,94107,3000 - 3499 grams,80,09/10/2025
Birth,2025,Place of Residence,94107,3500 - 3999 grams,64,09/10/2025
Birth,2025,Place of Residence,94107,4000 - 5999 grams,11,09/10/2025
Birth,2025,Place of Residence,94107,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94108,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94108,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94108,1500 - 1999 grams,0,09/10/2025
Birth,2025,Place of Residence,94108,2000 - 2499 grams,0,09/10/2025
Birth,2025,Place of Residence,94108,2500 - 2999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94108,3000 - 3499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94108,3500 - 3999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94108,4000 - 5999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94108,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94109,500 - 999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94109,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94109,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94109,2000 - 2499 grams,11,09/10/2025
Birth,2025,Place of Residence,94109,2500 - 2999 grams,50,09/10/2025
Birth,2025,Place of Residence,94109,3000 - 3499 grams,88,09/10/2025
Birth,2025,Place of Residence,94109,3500 - 3999 grams,51,09/10/2025
Birth,2025,Place of Residence,94109,4000 - 5999 grams,21,09/10/2025
Birth,2025,Place of Residence,94109,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94110,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94110,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94110,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94110,2000 - 2499 grams,22,09/10/2025
Birth,2025,Place of Residence,94110,2500 - 2999 grams,89,09/10/2025
Birth,2025,Place of Residence,94110,3000 - 3499 grams,137,09/10/2025
Birth,2025,Place of Residence,94110,3500 - 3999 grams,103,09/10/2025
Birth,2025,Place of Residence,94110,4000 - 5999 grams,33,09/10/2025
Birth,2025,Place of Residence,94110,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94111,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94111,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94111,1500 - 1999 grams,0,09/10/2025
Birth,2025,Place of Residence,94111,2000 - 2499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94111,2500 - 2999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94111,3000 - 3499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94111,3500 - 3999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94111,4000 - 5999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94111,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94112,500 - 999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94112,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94112,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94112,2000 - 2499 grams,13,09/10/2025
Birth,2025,Place of Residence,94112,2500 - 2999 grams,79,09/10/2025
Birth,2025,Place of Residence,94112,3000 - 3499 grams,146,09/10/2025
Birth,2025,Place of Residence,94112,3500 - 3999 grams,65,09/10/2025
Birth,2025,Place of Residence,94112,4000 - 5999 grams,20,09/10/2025
Birth,2025,Place of Residence,94112,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94114,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94114,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94114,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94114,2000 - 2499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94114,2500 - 2999 grams,38,09/10/2025
Birth,2025,Place of Residence,94114,3000 - 3499 grams,62,09/10/2025
Birth,2025,Place of Residence,94114,3500 - 3999 grams,47,09/10/2025
Birth,2025,Place of Residence,94114,4000 - 5999 grams,18,09/10/2025
Birth,2025,Place of Residence,94114,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94115,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94115,1000 - 1499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94115,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94115,2000 - 2499 grams,15,09/10/2025
Birth,2025,Place of Residence,94115,2500 - 2999 grams,32,09/10/2025
Birth,2025,Place of Residence,94115,3000 - 3499 grams,74,09/10/2025
Birth,2025,Place of Residence,94115,3500 - 3999 grams,40,09/10/2025
Birth,2025,Place of Residence,94115,4000 - 5999 grams,12,09/10/2025
Birth,2025,Place of Residence,94115,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94116,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94116,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94116,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94116,2000 - 2499 grams,12,09/10/2025
Birth,2025,Place of Residence,94116,2500 - 2999 grams,46,09/10/2025
Birth,2025,Place of Residence,94116,3000 - 3499 grams,79,09/10/2025
Birth,2025,Place of Residence,94116,3500 - 3999 grams,46,09/10/2025
Birth,2025,Place of Residence,94116,4000 - 5999 grams,12,09/10/2025
Birth,2025,Place of Residence,94116,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94117,500 - 999 grams,0,09/10/2025
Birth,2025,Place of Residence,94117,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94117,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94117,2000 - 2499 grams,11,09/10/2025
Birth,2025,Place of Residence,94117,2500 - 2999 grams,27,09/10/2025
Birth,2025,Place of Residence,94117,3000 - 3499 grams,85,09/10/2025
Birth,2025,Place of Residence,94117,3500 - 3999 grams,42,09/10/2025
Birth,2025,Place of Residence,94117,4000 - 5999 grams,16,09/10/2025
Birth,2025,Place of Residence,94117,Unreliable/Unknown,0,09/10/2025
Birth,2025,Place of Residence,94118,500 - 999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94118,1000 - 1499 grams,0,09/10/2025
Birth,2025,Place of Residence,94118,1500 - 1999 grams,<11,09/10/2025
Birth,2025,Place of Residence,94118,2000 - 2499 grams,<11,09/10/2025
Birth,2025,Place of Residence,94118,2500 - 2999 grams,46,09/10/2025
Birth,2025,Place of Residence,94118,3000 - 3499 grams,84,09/10/2025
