Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Trimester_Prenatal_Care_Began,Total_Births,Last_Data_Refresh
Birth,2025,Place of Residence,94102,First Trimester,100,09/10/2025
Birth,2025,Place of Residence,94102,Second Trimester,17,09/10/2025
Birth,2025,Place of Residence,94102,Third Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94102,No Prenatal Care,<11,09/10/2025
Birth,2025,Place of Residence,94102,Unknown/Not Reported,<11,09/10/2025
Birth,2025,Place of Residence,94103,First Trimester,115,09/10/2025
Birth,2025,Place of Residence,94103,Second Trimester,28,09/10/2025
Birth,2025,Place of Residence,94103,Third Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94103,No Prenatal Care,<11,09/10/2025
Birth,2025,Place of Residence,94103,Unknown/Not Reported,<11,09/10/2025
Birth,2025,Place of Residence,94104,First Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94104,Second Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94104,Third Trimester,0,09/10/2025
Birth,2025,Place of Residence,94104,No Prenatal Care,0,09/10/2025
Birth,2025,Place of Residence,94104,Unknown/Not Reported,0,09/10/2025
Birth,2025,Place of Residence,94105,First Trimester,76,09/10/2025
Birth,2025,Place of Residence,94105,Second Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94105,Third Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94105,No Prenatal Care,0,09/10/2025
Birth,2025,Place of Residence,94105,Unknown/Not Reported,<11,09/10/2025
Birth,2025,Place of Residence,94107,First Trimester,196,09/10/2025
Birth,2025,Place of Residence,94107,Second Trimester,12,09/10/2025
Birth,2025,Place of Residence,94107,Third Trimester,<11,09/10/2025
Birth,2025,Place of Residence,94107,No Prenatal Care,0,09/10/2025
Birth,2025,Place of Residence,94107,Unknown/Not Reported,0,09/10/2025
Birth,2025,Place of Residence,94108,First Trimester,20,09/10/2025
Birth,2025,Place of Residence,94108,Second Trimester,<11,09/10/2025
