"zip_code","p85_mean","p85_min","p85_max","p95_mean","p95_min","p95_max","p97.5_mean","p97.5_min","p97.5_max"
94005,17.5677501,13.1435325,22.7331164,19.5030261,14.3628684,26.1578308,20.8097653,14.941208,27.90546645
94014,17.1541583,12.6771319,22.284187,19.1526306,13.9334451,25.7380499,20.480946,14.575634,27.50395955
94015,17.0056067,12.6269988,22.0528704,18.8820467,13.872315,25.4607997,20.19069065,14.4830045,27.2132442
94102,17.710006,13.060398,23.052624,19.7952702,14.30966,26.506394,21.07274,14.89156965,28.2818
94103,17.7203487,13.111904,23.0185299,19.774484,14.3609411,26.473992,21.050668,14.93214375,28.25315295
94104,17.91674,13.1889061,23.2671528,19.9693996,14.442,26.7334601,21.270784,15.0445852,28.525166
94105,17.9294015,13.2431046,23.2864816,19.98353,14.5036264,26.720894,21.266496,15.0912363,28.504758
94107,17.7838448,13.1921106,23.06301,19.83287,14.43194,26.5265392,21.11449515,15.0139844,28.2897453
94108,17.8286264,13.0715016,23.242944,19.9519405,14.319982,26.708868,21.246156,14.93220205,28.52838655
94109,17.76468,13.010796,23.2023451,19.889574,14.26087,26.659262,21.187076,14.887826,28.4376766
94110,17.5310146,12.99046,22.7528478,19.574428,14.237828,26.218566,20.860452,14.809366,27.995492
94111,17.971238,13.217372,23.3715627,20.035197,14.4769755,26.8336,21.32558585,15.0858622,28.59803395
94112,17.1241347,12.6003952,22.3043023,19.1588808,13.862202,25.7388048,20.49421945,14.5119302,27.50597
94114,17.432262,12.7791949,22.752858,19.5508186,14.0450302,26.1758107,20.85109885,14.68792,28.00649485
94115,17.651968,12.9141469,23.09717,19.782684,14.156656,26.5302627,21.05973125,14.799396,28.32909715
94116,17.153068,12.547784,22.4748884,19.1834121,13.8280011,25.8350915,20.51764225,14.50290755,27.6081574
94117,17.48358,12.7796245,22.885484,19.625942,14.0345971,26.300946,20.924436,14.697386,28.117976
94118,17.5097392,12.7779,22.9827902,19.638918,14.0286647,26.3870045,20.91693895,14.6971682,28.14862575
94121,17.43505,12.7372973,22.892184,19.4884175,14.00627,26.259828,20.737683,14.666728,27.972104
94122,17.2376158,12.5952522,22.5979004,19.294766,13.8632516,25.9617788,20.587504,14.535042,27.72472
94123,17.8097791,13.030582,23.293238,19.9085641,14.2948114,26.743674,21.20238865,14.910758,28.49986585
94124,17.5854537,13.1046756,22.771856,19.5753738,14.32993,26.2373119,20.87776945,14.9014533,27.995364
94127,17.0774796,12.394256,22.4493976,19.2461185,13.6363777,25.809088,20.6000406,14.42207065,27.63429345
94129,17.6575776,12.908984,23.1509127,19.7687406,14.167088,26.5638408,21.04243855,14.80985,28.31404
94130,18.3274148,13.415049,23.8928933,20.4185005,14.7082222,27.361024,21.77236345,15.33589205,29.0752286
94131,17.2619026,12.6058055,22.5760327,19.3797867,13.8717133,25.9858603,20.70489595,14.56419,27.8049627
94132,17.041211,12.5784119,22.1940162,19.0008749,13.8410971,25.5896447,20.30649635,14.4749418,27.3655934
94133,17.90708,13.108966,23.3645297,20.01206,14.3636515,26.817408,21.3202721,14.973824,28.615266
94134,17.3482898,12.8682873,22.513862,19.361534,14.105596,25.988248,20.66973765,14.717502,27.74902515
94158,17.8436968,13.2433059,23.1290914,19.8856493,14.4917493,26.5829922,21.16813005,15.0643571,28.3433791
94188,17.7684346,13.273558,22.9680562,19.7264637,14.5005297,26.4382537,21.01576235,15.09550275,28.17647955
94501,18.28644,13.395134,23.7994838,20.3787522,14.6763416,27.2722869,21.74643145,15.32122385,29.01298685
94920,18.28644,13.395134,23.7994838,20.3787522,14.6763416,27.2722869,21.74643145,15.32122385,29.01298685
94965,17.7274307,12.9291022,23.2771669,19.8209576,14.2096379,26.6747368,21.0803883,14.8504021,28.36212685
